,SOURCE_KEY,DAY,DC_efficiency_unnorm,DC_efficiency,AC_efficiency_unnorm,AC_efficiency,alarm_negative_trend,alarm_negative_trend_temp,alarm_AC_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_AC_conversion_fall,alarm_AC_conversion_jump,alarm_inefficient_inverter_day,alarm_AC_inefficient_inverter_day,alarm_inefficient_inverter_window,alarm_AC_inefficient_inverter_window
194,z9Y9gH1T5YWrNuG,144,13501.55361709872,0.8243448322818899,0.09770421578100488,0.9974301374924615,0,0,0,0,0,0,0,0,0,0.0,0.0
195,zBIq5rxdHJRwDNY,144,13760.780297436342,0.8401720607910064,0.09769094189328766,0.9972946287475725,0,0,0,0,0,0,0,0,0,0.0,0.0
196,zVJPv84UY57bAof,144,13754.16455998407,0.839768133277538,0.09769446552704959,0.9973306003633267,0,0,0,0,0,0,0,0,0,0.0,0.0
197,YxYtjZvoooNbGkE,144,13600.283623610763,0.8303728474990638,0.09769399554387717,0.9973258024600168,0,0,0,0,0,0,0,0,0,0.0,0.0
198,1BY6WEcLGh8j5v7,145,13294.472946039983,0.8117014072440076,0.09770633078967782,0.9974517289189376,0,0,1,0,0,0,0,0,0,0.0,0.0
199,1IF53ai7Xc0U56Y,145,14244.153052896152,0.8696846520326931,0.09766233155073557,0.9970025551898726,0,0,1,0,0,0,0,0,0,0.0,0.0
200,3PZuoBAID5Wc2HD,145,14470.511420165816,0.883505087487336,0.09765453296863047,0.9969229420354231,0,0,1,0,0,0,0,0,0,0.0,0.0
201,7JYdWkrLSPkdwr4,145,14071.754904438407,0.8591587876169025,0.09766567014581112,0.9970366378066626,0,0,1,0,0,0,0,0,0,0.0,0.0
202,McdE0feGgRqW7Ca,145,13275.780830315913,0.8105601497681244,0.09765961620675938,0.9969748351381443,0,0,1,0,0,0,0,0,0,0.0,0.0
203,VHMLBKoKgIrUVDU,145,14806.058376739014,0.9039920927226988,0.09766184567322124,0.9969975950264646,0,0,1,0,0,0,0,0,0,0.0,0.0
204,WRmjgnKYAwPKWDb,145,14356.939950819042,0.8765709185386523,0.09766802427272639,0.997060670312466,0,0,1,0,0,0,0,0,0,0.0,0.0
205,ZnxXDlPa8U1GXgE,145,13951.767008785551,0.8518328602071452,0.09767251270415386,0.9971064912296091,0,0,1,0,0,0,0,0,0,0.0,0.0
206,ZoEaEvLYb1n2sOq,145,12876.23115082986,0.7861654228452098,0.09766762058256917,0.9970565491726995,0,0,1,0,0,0,0,0,0,0.0,0.0
207,adLQvlD726eNBSB,145,14937.27810740476,0.9120037860385508,0.09765428087530473,0.9969203684977457,0,0,1,0,1,0,0,0,0,0.0,0.0
208,bvBOhCH3iADSZry,145,13144.175799742752,0.8025249317530737,0.09773410712963437,0.9977352884190108,0,0,1,0,0,0,0,0,0,0.0,0.0
209,iCRJl6heRkivqQ3,145,13005.387511653464,0.7940511359728041,0.0976603133012811,0.9969819515463677,0,0,1,0,0,0,0,0,0,0.0,0.0
210,ih0vzX44oOqAx2f,145,13088.389609339169,0.7991188750076005,0.09768697627976461,0.997254145106105,0,0,1,0,0,0,0,0,0,0.0,0.0
211,pkci93gMrogZuBj,145,13224.49862144774,0.8074290861092769,0.09767197062869694,0.9971009573599269,0,0,1,0,0,0,0,0,0,0.0,0.0
212,rGa61gmuvPhdLxV,145,12949.235187857501,0.7906227247503208,0.09767407395065186,0.9971224294805506,0,0,1,0,0,0,0,0,0,0.0,0.0
213,sjndEbLyjtCKgGv,145,13111.09770245072,0.800505330206636,0.09767351629559227,0.9971167365638396,0,0,1,0,0,0,0,0,0,0.0,0.0
214,uHbuxQJl8lW7ozc,145,13507.740436307782,0.824722571954515,0.09767271265836386,0.9971085324962379,0,0,1,0,0,0,0,0,0,0.0,0.0
215,wCURE6d3bPkepu2,145,13208.884002043149,0.8064757268752758,0.09766536702655543,0.9970335433620835,0,0,1,0,0,0,0,0,0,0.0,0.0
216,z9Y9gH1T5YWrNuG,145,12990.368394402356,0.7931341354525301,0.09766616611456957,0.9970417009882561,0,0,1,0,0,0,0,0,0,0.0,0.0
217,zBIq5rxdHJRwDNY,145,12591.247344097812,0.7687655787216365,0.09777041727423397,0.9981059667181081,0,0,1,1,0,0,0,0,0,0.0,0.0
218,zVJPv84UY57bAof,145,13180.871193158971,0.8047653893173723,0.0976679514234431,0.9970599266181427,0,0,1,0,0,0,0,0,0,0.0,0.0
219,YxYtjZvoooNbGkE,145,13389.776250127288,0.8175202032471777,0.0976606302298657,0.9969851869658344,0,0,1,0,0,0,0,0,0,0.0,0.0
220,1BY6WEcLGh8j5v7,146,13043.846913614021,0.7963992960555584,0.09772120142469565,0.9976035383307615,0,0,1,0,0,0,0,0,0,0.0,0.0
221,1IF53ai7Xc0U56Y,146,14215.966967218832,0.8679637349642361,0.09763253469017218,0.9966983688608486,0,0,1,0,0,0,0,0,0,0.0,0.0
222,3PZuoBAID5Wc2HD,146,14319.953276599494,0.8743126766636161,0.0976353951322786,0.9967275701715669,0,0,1,0,0,0,0,0,0,0.0,0.0
223,7JYdWkrLSPkdwr4,146,13748.563384763152,0.8394261504228966,0.0976562244904116,0.9969402102237939,0,0,1,0,0,0,0,0,0,0.0,0.0
224,McdE0feGgRqW7Ca,146,13769.89043417272,0.8407282852339847,0.09762700451266201,0.9966419131012867,0,0,1,0,0,0,0,0,0,0.0,0.0
225,VHMLBKoKgIrUVDU,146,14232.102947532745,0.8689489261772481,0.0976374612198852,0.9967486621790002,0,0,1,0,0,0,0,0,0,0.0,0.0
226,WRmjgnKYAwPKWDb,146,14140.80391731216,0.8633746133322897,0.09765578041422844,0.9969356767963989,0,0,1,0,0,0,0,0,0,0.0,0.0
227,ZnxXDlPa8U1GXgE,146,13993.270206763946,0.854366860941204,0.09763955364245207,0.9967700230313634,0,0,1,0,0,0,0,0,0,0.0,0.0
228,ZoEaEvLYb1n2sOq,146,13248.57195839112,0.8088988970264386,0.09765932759967244,0.9969718888435132,1,1,1,0,0,0,0,0,0,0.0,0.0
229,adLQvlD726eNBSB,146,14440.041647492122,0.8816447386447737,0.09762352610584965,0.9966064031925548,0,0,1,0,0,0,0,0,0,0.0,0.0
230,bvBOhCH3iADSZry,146,12776.079326910138,0.7800505977789098,0.0977661948346303,0.9980628612238286,0,0,1,0,0,0,0,0,0,0.0,0.0
231,iCRJl6heRkivqQ3,146,13422.440957645338,0.8195145650520593,0.09763469627065012,0.9967204357235329,0,0,1,0,0,0,0,0,0,0.0,0.0
232,ih0vzX44oOqAx2f,146,12279.588128821653,0.7497370527584787,0.09766214976361717,0.9970006993850944,0,0,1,1,0,0,0,1,0,0.0,0.0
233,pkci93gMrogZuBj,146,13382.33613693753,0.8170659430165771,0.09764212562539573,0.9967962795575596,0,0,1,0,0,0,0,0,0,0.0,0.0
234,rGa61gmuvPhdLxV,146,13314.000245309531,0.8128936573137246,0.09764922137685887,0.9968687177456246,0,0,1,0,0,0,0,0,0,0.0,0.0
235,sjndEbLyjtCKgGv,146,13348.051280555339,0.8149726621256733,0.09764810680762814,0.9968573394756884,0,0,1,0,0,0,0,0,0,0.0,0.0
236,uHbuxQJl8lW7ozc,146,13427.97956234338,0.8198527276287795,0.0976358129957355,0.9967318360018785,0,0,1,0,0,0,0,0,0,0.0,0.0
237,wCURE6d3bPkepu2,146,13641.66320022646,0.8328993004623704,0.09763288857643697,0.9967019815690918,0,0,1,0,0,0,0,0,0,0.0,0.0
238,z9Y9gH1T5YWrNuG,146,13711.988263667741,0.8371930361517431,0.0976408744338836,0.9967835065557806,0,0,1,0,0,0,0,0,0,0.0,0.0
239,zBIq5rxdHJRwDNY,146,12737.900144424731,0.7777195466513763,0.09769006655547441,0.9972856927123314,0,0,1,0,0,0,0,0,0,0.0,0.0
240,zVJPv84UY57bAof,146,13489.497430524783,0.8236087351347687,0.09763724125304683,0.996746416610044,0,0,1,0,0,0,0,0,0,0.0,0.0
241,YxYtjZvoooNbGkE,146,13470.48786537039,0.8224480956081365,0.09764627732053299,0.9968386628448975,0,0,1,0,0,0,0,0,0,0.0,0.0
242,1BY6WEcLGh8j5v7,147,13032.169398843367,0.7956863189250677,0.0977342089239631,0.9977363276037634,0,0,0,0,0,0,0,0,0,0.0,0.0
243,1IF53ai7Xc0U56Y,147,14466.430899932453,0.8832559490649893,0.0976952280172136,0.997338384374109,0,0,0,0,0,0,0,0,0,0.0,0.0
244,3PZuoBAID5Wc2HD,147,14300.129022004867,0.8731022958220939,0.09771280878180703,0.9975178606055641,0,0,0,0,0,0,0,0,0,0.0,0.0
245,7JYdWkrLSPkdwr4,147,13834.59044082353,0.844678579966263,0.09770188526908251,0.9974063460643375,0,0,1,0,0,0,0,0,0,0.0,0.0
246,McdE0feGgRqW7Ca,147,13663.54883361276,0.8342355399274617,0.09769957538176054,0.9973827651859616,0,0,0,0,0,0,0,0,0,0.0,0.0
247,VHMLBKoKgIrUVDU,147,14328.111465251568,0.8748107793891869,0.0976989557422794,0.9973764394907199,0,0,1,0,0,0,0,0,0,0.0,0.0
248,WRmjgnKYAwPKWDb,147,13931.470743180533,0.8505936604720178,0.09772259081234687,0.9976177221313777,0,0,0,0,0,0,0,0,0,0.0,0.0
249,ZnxXDlPa8U1GXgE,147,14184.066655218636,0.8660160437509642,0.09769795287204538,0.9973662015190274,0,0,1,0,0,0,0,0,0,0.0,0.0
250,ZoEaEvLYb1n2sOq,147,13580.788383115345,0.8291825547955531,0.09771295751414878,0.9975193789650217,0,0,1,0,0,0,0,0,0,0.0,0.0
251,adLQvlD726eNBSB,147,14374.221559865135,0.8776260567482744,0.0976916334420082,0.9973016885405394,0,0,0,0,0,0,0,0,0,0.0,0.0
252,bvBOhCH3iADSZry,147,13072.085130392425,0.7981233960172585,0.09774742960330068,0.9978712931618411,0,0,0,0,0,0,0,0,0,0.0,0.0
253,iCRJl6heRkivqQ3,147,13505.399055549764,0.8245796176558459,0.09770285379875487,0.9974162334645541,0,0,1,0,0,0,0,0,0,0.0,0.0
254,ih0vzX44oOqAx2f,147,13687.72246404504,0.8357114743191235,0.09771581991128309,0.9975486002339753,0,0,0,0,0,0,0,0,0,0.0,0.0
255,pkci93gMrogZuBj,147,13548.878815887654,0.8272342984992418,0.09771422152288797,0.9975322828136474,0,0,1,0,0,0,0,0,0,0.0,0.0
256,rGa61gmuvPhdLxV,147,13571.655038736431,0.828624913397109,0.09772276397043309,0.9976194898452103,0,0,1,0,0,0,0,0,0,0.0,0.0
257,sjndEbLyjtCKgGv,147,13456.483403471037,0.821593045432207,0.09772872154568688,0.9976803087674749,0,0,0,0,0,0,0,0,0,0.0,0.0
258,uHbuxQJl8lW7ozc,147,13324.213234500685,0.8135172170240099,0.09773728584843203,0.997767738911572,0,0,0,0,0,0,0,0,0,0.0,0.0
259,wCURE6d3bPkepu2,147,13503.884541434136,0.8244871481578872,0.0977056884013868,0.9974451709885933,0,0,1,0,0,0,0,0,0,0.0,0.0
260,z9Y9gH1T5YWrNuG,147,13194.75404006458,0.8056130142225169,0.09770679965944404,0.9974565154558506,0,0,0,0,0,0,0,0,0,0.0,0.0
261,zBIq5rxdHJRwDNY,147,13103.575796392042,0.8000460760671325,0.09773348028472269,0.9977288891659033,0,0,0,0,0,0,0,0,0,0.0,0.0
262,zVJPv84UY57bAof,147,13455.527054005286,0.821534654986018,0.0977344161980339,0.9977384435964386,0,0,0,0,0,0,0,0,0,0.0,0.0
263,YxYtjZvoooNbGkE,147,13641.276853437006,0.8328757118452093,0.0977058603768322,0.9974469266292356,0,0,1,0,0,0,0,0,0,0.0,0.0
264,1BY6WEcLGh8j5v7,148,12500.174854598468,0.7632050974458555,0.0978449830538138,0.998867184186403,0,0,0,0,0,0,1,1,0,0.0,0.0
265,1IF53ai7Xc0U56Y,148,13931.289007897232,0.850582564523664,0.09785170894168527,0.9989358465589605,0,0,0,0,0,0,1,0,0,0.0,0.0
266,3PZuoBAID5Wc2HD,148,13588.114030616736,0.8296298262601677,0.09782578985138689,0.9986712471085342,0,0,0,0,0,0,1,0,0,0.0,0.0
267,7JYdWkrLSPkdwr4,148,13341.367520164818,0.814564581434044,0.09779749143220219,0.998382357873688,0,0,0,0,0,0,1,0,0,0.0,0.0
268,McdE0feGgRqW7Ca,148,13603.400788338267,0.8305631677175633,0.09779074111894367,0.9983134461504043,0,0,0,0,0,0,0,0,0,0.0,0.0
269,VHMLBKoKgIrUVDU,148,13712.872334217107,0.8372470135686694,0.09779016071638993,0.9983075210120226,0,0,0,0,0,0,1,0,0,0.0,0.0
270,WRmjgnKYAwPKWDb,148,13338.504734261584,0.8143897924555169,0.09783114566713057,0.9987259228662883,0,0,0,0,0,0,1,0,0,0.0,0.0
271,ZnxXDlPa8U1GXgE,148,13617.362821822055,0.8314156274030866,0.09779260718932654,0.9983324962479223,0,0,0,0,0,0,1,0,0,0.0,0.0
272,ZoEaEvLYb1n2sOq,148,13572.26499070724,0.8286621543524342,0.09779606229061404,0.9983677682382319,0,0,0,0,0,0,1,0,0,0.0,0.0
273,adLQvlD726eNBSB,148,13898.689323768056,0.8485921727577953,0.09782268579528582,0.9986395588228351,0,0,0,0,0,0,1,0,0,0.0,0.0
274,bvBOhCH3iADSZry,148,12389.930375292606,0.7564740597163677,0.09785224712851098,0.9989413407308882,0,0,0,0,0,0,1,1,0,0.0,0.0
275,iCRJl6heRkivqQ3,148,13647.972585549673,0.8332845234769632,0.09780738164700933,0.9984833238170311,0,0,0,0,0,0,1,0,0,0.0,0.0
276,ih0vzX44oOqAx2f,148,13320.504371478177,0.813290770338469,0.09782559465188022,0.9986692543811045,0,0,0,0,0,0,1,0,0,0.0,0.0
277,pkci93gMrogZuBj,148,13400.530328215811,0.8181767994397079,0.09783092879530486,0.9987237088932964,0,0,0,0,0,0,1,0,0,0.0,0.0
278,rGa61gmuvPhdLxV,148,13311.5571820329,0.8127444947325771,0.09782904308321504,0.9987044582800656,0,0,0,0,0,0,1,0,0,0.0,0.0
279,sjndEbLyjtCKgGv,148,13377.038809666874,0.8167425117667881,0.09781012102241254,0.9985112891976774,0,0,0,0,0,0,1,0,0,0.0,0.0
280,uHbuxQJl8lW7ozc,148,13521.45720235258,0.8255600567007392,0.09782595941378568,0.9986729781151789,1,1,0,0,0,0,1,0,0,0.0,0.0
281,wCURE6d3bPkepu2,148,13342.314337008456,0.8146223898607113,0.09778159861908627,0.9982201133825508,0,0,0,0,0,0,0,0,0,0.0,0.0
